ob_time,hour,day,month,wind_speed,air_temperature,rltv_hum,visibility,Site
01/01/2022 00:00,0,1,1,5,0.1,92,1400,315
01/01/2022 01:00,1,1,1,4,-0.1,93.7,1200,315
01/01/2022 02:00,2,1,1,8,-0.1,93.7,1200,315
01/01/2022 03:00,3,1,1,6,0.7,93.9,1700,315
01/01/2022 04:00,4,1,1,8,0.7,96.1,2000,315
01/01/2022 05:00,5,1,1,8,1.5,94.1,2100,315
01/01/2022 06:00,6,1,1,10,2.3,94.5,2400,315
01/01/2022 07:00,7,1,1,9,2.5,92.7,2500,315
01/01/2022 08:00,8,1,1,6,1.6,92.3,2300,315
01/01/2022 09:00,9,1,1,5,0.6,92,2000,315
01/01/2022 10:00,10,1,1,7,1.6,96.2,1200,315
01/01/2022 11:00,11,1,1,6,3.1,91.2,1200,315
01/01/2022 12:00,12,1,1,2,5.5,87.3,1500,315
01/01/2022 13:00,13,1,1,6,6.3,87.7,2600,315
01/01/2022 14:00,14,1,1,9,7.2,81,1900,315
01/01/2022 15:00,15,1,1,8,6.2,81.8,1700,315
01/01/2022 16:00,16,1,1,10,4.4,86.7,1100,315
01/01/2022 17:00,17,1,1,9,3.7,93.1,900,315
01/01/2022 18:00,18,1,1,7,2.8,92.8,700,315
01/01/2022 19:00,19,1,1,7,2.5,92.7,700,315
01/01/2022 20:00,20,1,1,12,3.6,91.3,900,315
01/01/2022 21:00,21,1,1,11,2.1,92.5,800,315
01/01/2022 22:00,22,1,1,11,2.5,92.7,800,315
01/01/2022 23:00,23,1,1,11,2.1,92.5,900,315
02/01/2022 00:00,0,2,1,9,2.6,94.6,800,315
02/01/2022 01:00,1,2,1,13,3.4,93.1,1000,315
02/01/2022 02:00,2,2,1,12,3.8,93.3,1000,315
02/01/2022 03:00,3,2,1,9,3.2,94.8,1100,315
02/01/2022 04:00,4,2,1,7,4.6,90.1,2400,315
02/01/2022 05:00,5,2,1,12,5.5,87.4,2200,315
02/01/2022 06:00,6,2,1,13,6.4,83.4,2400,315
02/01/2022 07:00,7,2,1,7,5,87.1,2200,315
02/01/2022 08:00,8,2,1,10,4.3,88.3,2100,315
02/01/2022 09:00,9,2,1,5,5.2,85.6,2500,315
02/01/2022 10:00,10,2,1,9,6.2,86.3,2300,315
02/01/2022 11:00,11,2,1,13,6.9,80.9,3000,315
02/01/2022 12:00,12,2,1,12,7.4,81.3,3000,315
02/01/2022 13:00,13,2,1,15,8.2,79.1,3500,315
02/01/2022 14:00,14,2,1,15,8.7,80.9,4500,315
02/01/2022 15:00,15,2,1,9,9.4,78.8,4500,315
02/01/2022 16:00,16,2,1,17,9.4,80.2,4000,315
02/01/2022 17:00,17,2,1,10,8.9,83.7,5000,315
02/01/2022 18:00,18,2,1,11,9.1,83.9,5000,315
02/01/2022 19:00,19,2,1,9,9.5,86.7,4500,315
02/01/2022 20:00,20,2,1,10,10.3,83.3,5500,315
02/01/2022 21:00,21,2,1,9,10.2,83.3,3500,315
02/01/2022 22:00,22,2,1,17,11,82.6,3500,315
02/01/2022 23:00,23,2,1,16,11.1,81.4,3500,315
03/01/2022 00:00,0,3,1,16,10.6,86,4000,315
03/01/2022 01:00,1,3,1,12,10.2,87.1,4000,315
03/01/2022 02:00,2,3,1,17,9.2,82.6,6000,315
03/01/2022 03:00,3,3,1,13,6.2,93.9,500,315
03/01/2022 04:00,4,3,1,8,5.9,90.7,3000,315
03/01/2022 05:00,5,3,1,5,4.8,92,2800,315
03/01/2022 06:00,6,3,1,12,4.9,80.7,4000,315
03/01/2022 07:00,7,3,1,11,4.7,74.1,3500,315
03/01/2022 08:00,8,3,1,8,3.9,78.2,3000,315
03/01/2022 09:00,9,3,1,9,4.8,74.3,3500,315
03/01/2022 10:00,10,3,1,10,4.4,76.9,3500,315
03/01/2022 11:00,11,3,1,10,5.9,70.8,3500,315
03/01/2022 12:00,12,3,1,11,6.3,69.9,3000,315
03/01/2022 13:00,13,3,1,12,7.2,65.5,3500,315
03/01/2022 14:00,14,3,1,11,7.7,62.1,3500,315
03/01/2022 15:00,15,3,1,22,7.2,64,4000,315
03/01/2022 16:00,16,3,1,18,6.6,67.5,4000,315
03/01/2022 17:00,17,3,1,16,5.5,76.5,4000,315
03/01/2022 18:00,18,3,1,15,4.7,80.4,3500,315
03/01/2022 19:00,19,3,1,16,5.4,79.5,3500,315
03/01/2022 20:00,20,3,1,14,5.2,80.8,3500,315
03/01/2022 21:00,21,3,1,12,5.3,82.5,3000,315
03/01/2022 22:00,22,3,1,14,5.7,82.8,3500,315
03/01/2022 23:00,23,3,1,19,6.3,81.8,4000,315
04/01/2022 00:00,0,4,1,15,6.2,83.2,4500,315
04/01/2022 01:00,1,4,1,15,6.5,84.8,4500,315
04/01/2022 02:00,2,4,1,12,7.1,80.9,3000,315
04/01/2022 03:00,3,4,1,15,7.2,81,4000,315
04/01/2022 04:00,4,4,1,16,7.2,83.9,4000,315
04/01/2022 05:00,5,4,1,13,7.5,81.2,5500,315
04/01/2022 06:00,6,4,1,12,7.9,78.7,5000,315
04/01/2022 07:00,7,4,1,15,8,77.4,5000,315
04/01/2022 08:00,8,4,1,16,8.5,75.2,5500,315
04/01/2022 09:00,9,4,1,15,8.7,76.7,5500,315
04/01/2022 10:00,10,4,1,18,8.9,75.5,4500,315
04/01/2022 11:00,11,4,1,15,9,75.6,5000,315
04/01/2022 12:00,12,4,1,11,9.8,73.8,4500,315
04/01/2022 13:00,13,4,1,15,9.2,78.4,4500,315
04/01/2022 14:00,14,4,1,19,9.2,79.7,6000,315
04/01/2022 15:00,15,4,1,12,8.7,82,6000,315
04/01/2022 16:00,16,4,1,13,8.3,84.6,5000,315
04/01/2022 17:00,17,4,1,13,7.8,85.6,5000,315
04/01/2022 18:00,18,4,1,13,8.2,84.5,4500,315
04/01/2022 19:00,19,4,1,10,7.6,84.1,5000,315
04/01/2022 20:00,20,4,1,8,7.7,84.2,5000,315
04/01/2022 21:00,21,4,1,10,7.6,85.5,4500,315
04/01/2022 22:00,22,4,1,11,7.6,85.5,5000,315
04/01/2022 23:00,23,4,1,5,7.4,89.8,3000,315
05/01/2022 00:00,0,5,1,10,7.2,92.6,4500,315
05/01/2022 01:00,1,5,1,10,8.3,87.3,5000,315
05/01/2022 02:00,2,5,1,6,8.6,84.7,5500,315
05/01/2022 03:00,3,5,1,10,9,79.6,6000,315
05/01/2022 04:00,4,5,1,12,9.1,75.7,6000,315
05/01/2022 05:00,5,5,1,12,9,77,5500,315
05/01/2022 06:00,6,5,1,13,9,77,5500,315
05/01/2022 07:00,7,5,1,8,8.9,78.2,5500,315
05/01/2022 08:00,8,5,1,5,9,78.3,6000,315
05/01/2022 09:00,9,5,1,7,9,79.6,6000,315
05/01/2022 10:00,10,5,1,11,8.7,80.7,5500,315
05/01/2022 11:00,11,5,1,15,9,79.6,6500,315
05/01/2022 12:00,12,5,1,17,9.9,83,6000,315
05/01/2022 13:00,13,5,1,24,10.5,79.5,5500,315
05/01/2022 14:00,14,5,1,24,10.6,79.5,6000,315
05/01/2022 15:00,15,5,1,21,10.1,83,5500,315
05/01/2022 16:00,16,5,1,5,10.4,81.9,5500,315
05/01/2022 17:00,17,5,1,10,10.5,84.6,6000,315
05/01/2022 18:00,18,5,1,17,10.6,84.6,5000,315
05/01/2022 19:00,19,5,1,7,10.5,87.1,5000,315
05/01/2022 20:00,20,5,1,13,10.5,87.1,4500,315
05/01/2022 21:00,21,5,1,20,10.4,87,4500,315
05/01/2022 22:00,22,5,1,7,10.5,84.6,6000,315
05/01/2022 23:00,23,5,1,13,9.6,86.6,5000,315
06/01/2022 00:00,0,6,1,10,9.4,89.2,4000,315
06/01/2022 01:00,1,6,1,7,9.2,86.5,5500,315
06/01/2022 02:00,2,6,1,15,8.9,80.9,4500,315
06/01/2022 03:00,3,6,1,14,8.5,80.6,4500,315
06/01/2022 04:00,4,6,1,15,8.3,77.8,5000,315
06/01/2022 05:00,5,6,1,12,8.4,75.2,5500,315
06/01/2022 06:00,6,6,1,15,7.9,74.7,6000,315
06/01/2022 07:00,7,6,1,21,7.9,76,6500,315
06/01/2022 08:00,8,6,1,19,8.4,75.2,6500,315
06/01/2022 09:00,9,6,1,15,8.3,77.9,5000,315
06/01/2022 10:00,10,6,1,15,8.8,75.6,5000,315
06/01/2022 11:00,11,6,1,13,9.6,72.6,4500,315
06/01/2022 12:00,12,6,1,17,9.4,74.9,4500,315
06/01/2022 13:00,13,6,1,17,9.5,75,4000,315
06/01/2022 14:00,14,6,1,18,9.5,75,4500,315
06/01/2022 15:00,15,6,1,15,9.3,78.8,5000,315
06/01/2022 16:00,16,6,1,16,9.4,78.9,5500,315
06/01/2022 17:00,17,6,1,14,9,82.5,6000,315
06/01/2022 18:00,18,6,1,8,7.9,78.9,4500,315
06/01/2022 19:00,19,6,1,13,7.5,78.5,4000,315
06/01/2022 20:00,20,6,1,15,7,80.9,4500,315
06/01/2022 21:00,21,6,1,10,6.7,82.1,4500,315
06/01/2022 22:00,22,6,1,12,6.4,83.4,3500,315
06/01/2022 23:00,23,6,1,13,6,81.6,3500,315
07/01/2022 00:00,0,7,1,13,5.8,84.5,2900,315
07/01/2022 01:00,1,7,1,9,5.8,86,2700,315
07/01/2022 02:00,2,7,1,11,6.6,83.5,2600,315
07/01/2022 03:00,3,7,1,9,6.9,82.3,2400,315
07/01/2022 04:00,4,7,1,11,6.6,83.5,2400,315
07/01/2022 05:00,5,7,1,12,6.7,79.2,3000,315
07/01/2022 06:00,6,7,1,11,7.2,75.3,2900,315
07/01/2022 07:00,7,7,1,14,7.9,76.1,3000,315
07/01/2022 08:00,8,7,1,12,9,73.2,2800,315
07/01/2022 09:00,9,7,1,12,9.3,73.5,2800,315
07/01/2022 10:00,10,7,1,25,9.9,76.6,2900,315
07/01/2022 11:00,11,7,1,22,10.3,78.3,4000,315
07/01/2022 12:00,12,7,1,15,10,85.7,4000,315
07/01/2022 13:00,13,7,1,20,11.8,81.7,4500,315
07/01/2022 14:00,14,7,1,18,12.4,82.2,4000,315
07/01/2022 15:00,15,7,1,18,12.4,83.4,4500,315
07/01/2022 16:00,16,7,1,19,12.4,82.2,5000,315
07/01/2022 17:00,17,7,1,26,13.2,80.4,5500,315
07/01/2022 18:00,18,7,1,25,13.3,79.4,5000,315
07/01/2022 19:00,19,7,1,23,13.1,80.4,5500,315
07/01/2022 20:00,20,7,1,23,13.3,79.4,5000,315
07/01/2022 21:00,21,7,1,19,13.1,75.9,3000,315
07/01/2022 22:00,22,7,1,23,12.7,76.7,3500,315
07/01/2022 23:00,23,7,1,34,12.3,67.4,2700,315
08/01/2022 00:00,0,8,1,34,11.5,73.4,2100,315
08/01/2022 01:00,1,8,1,29,11.1,75.3,1900,315
08/01/2022 02:00,2,8,1,25,9.9,76.6,4500,315
08/01/2022 03:00,3,8,1,24,9.5,69.9,3500,315
08/01/2022 04:00,4,8,1,15,8.5,68.7,4000,315
08/01/2022 05:00,5,8,1,10,8,72.1,3500,315
08/01/2022 06:00,6,8,1,7,7,68.1,4000,315
08/01/2022 07:00,7,8,1,10,6.8,67.8,3500,315
08/01/2022 08:00,8,8,1,12,6.7,66.3,4500,315
08/01/2022 09:00,9,8,1,7,5.4,79.6,4000,315
08/01/2022 10:00,10,8,1,16,6.4,74.4,3000,315
08/01/2022 11:00,11,8,1,16,7.2,69.8,3000,315
08/01/2022 12:00,12,8,1,14,7.7,68.9,3000,315
08/01/2022 13:00,13,8,1,18,7.7,69,3000,315
08/01/2022 14:00,14,8,1,16,7.5,66,3500,315
08/01/2022 15:00,15,8,1,16,6.6,69,3500,315
08/01/2022 16:00,16,8,1,4,5.9,72.4,3000,315
08/01/2022 17:00,17,8,1,5,5.7,76.7,2700,315
08/01/2022 18:00,18,8,1,8,4.9,79.1,3000,315
08/01/2022 19:00,19,8,1,5,4.5,78.6,3000,315
08/01/2022 20:00,20,8,1,11,4.1,81.7,3000,315
08/01/2022 21:00,21,8,1,8,3.9,88.1,2600,315
08/01/2022 22:00,22,8,1,8,3.7,89.7,2400,315
08/01/2022 23:00,23,8,1,3,3.4,89.5,2000,315
09/01/2022 00:00,0,9,1,2,3,91.2,2200,315
09/01/2022 01:00,1,9,1,2,2.9,91.1,2200,315
09/01/2022 02:00,2,9,1,2,3.1,91.3,1600,315
09/01/2022 03:00,3,9,1,2,3.4,94.7,1100,315
09/01/2022 04:00,4,9,1,8,5.1,95.1,500,315
09/01/2022 05:00,5,9,1,9,4.5,95,500,315
09/01/2022 06:00,6,9,1,9,4.4,93.3,480,315
09/01/2022 07:00,7,9,1,14,5,92,1000,315
09/01/2022 08:00,8,9,1,16,4.8,92,1600,315
09/01/2022 09:00,9,9,1,16,4.8,95.2,900,315
09/01/2022 10:00,10,9,1,14,4.8,95.2,800,315
09/01/2022 11:00,11,9,1,12,5,93.5,1700,315
09/01/2022 12:00,12,9,1,11,5.1,95.1,1000,315
09/01/2022 13:00,13,9,1,12,5.5,93.8,4000,315
09/01/2022 14:00,14,9,1,10,5.6,87.5,4500,315
09/01/2022 15:00,15,9,1,9,5.7,86,5500,315
09/01/2022 16:00,16,9,1,8,5.6,84.4,4500,315
09/01/2022 17:00,17,9,1,4,5.6,87.5,4000,315
09/01/2022 18:00,18,9,1,7,4.9,95.2,500,315
09/01/2022 19:00,19,9,1,5,4.8,93.6,3000,315
09/01/2022 20:00,20,9,1,7,4.9,92,3500,315
09/01/2022 21:00,21,9,1,6,4.9,92,4000,315
09/01/2022 22:00,22,9,1,6,4.7,93.6,900,315
09/01/2022 23:00,23,9,1,11,4.1,91.7,2500,315
10/01/2022 00:00,0,10,1,10,3.6,89.6,3500,315
10/01/2022 01:00,1,10,1,8,3,89.3,3000,315
10/01/2022 02:00,2,10,1,8,2.7,87.5,3500,315
10/01/2022 03:00,3,10,1,8,2.1,87.1,4000,315
10/01/2022 04:00,4,10,1,7,2.1,87.1,5000,315
10/01/2022 05:00,5,10,1,10,2.4,85.5,4000,315
10/01/2022 06:00,6,10,1,9,1.9,85.2,4000,315
10/01/2022 07:00,7,10,1,9,1.8,85.1,4500,315
10/01/2022 08:00,8,10,1,9,0.7,88,5000,315
10/01/2022 09:00,9,10,1,10,1.1,88.4,4000,315
10/01/2022 10:00,10,10,1,8,2.1,90.7,3500,315
10/01/2022 11:00,11,10,1,13,3.7,89.7,3000,315
10/01/2022 12:00,12,10,1,13,4.8,87,3000,315
10/01/2022 13:00,13,10,1,9,4.7,88.5,3000,315
10/01/2022 14:00,14,10,1,7,5.4,87.3,2900,315
10/01/2022 15:00,15,10,1,9,5.5,87.4,2600,315
10/01/2022 16:00,16,10,1,12,4.7,85.4,3500,315
10/01/2022 17:00,17,10,1,9,4.4,81.7,3000,315
10/01/2022 18:00,18,10,1,14,4.8,82.1,3000,315
10/01/2022 19:00,19,10,1,14,5.5,81.2,3500,315
10/01/2022 20:00,20,10,1,13,6.3,78.7,3500,315
10/01/2022 21:00,21,10,1,15,7,77.9,3500,315
10/01/2022 22:00,22,10,1,16,7.1,78.1,4000,315
10/01/2022 23:00,23,10,1,19,7.6,78.5,4000,315
11/01/2022 00:00,0,11,1,23,7.8,80.2,5000,315
11/01/2022 01:00,1,11,1,20,8.2,83.2,4000,315
11/01/2022 02:00,2,11,1,22,8.5,84.8,2700,315
11/01/2022 03:00,3,11,1,21,9.1,86.4,3500,315
11/01/2022 04:00,4,11,1,14,9.6,81.5,3000,315
11/01/2022 05:00,5,11,1,20,10.3,82,3500,315
11/01/2022 06:00,6,11,1,14,10.3,83.2,2700,315
11/01/2022 07:00,7,11,1,14,11.3,80.3,4000,315
11/01/2022 08:00,8,11,1,16,11.5,80.4,4000,315
11/01/2022 09:00,9,11,1,13,11.8,78.2,5500,315
11/01/2022 10:00,10,11,1,15,12,76.1,5000,315
11/01/2022 11:00,11,11,1,28,12.1,78.5,5000,315
11/01/2022 12:00,12,11,1,24,12.5,77.7,5000,315
11/01/2022 13:00,13,11,1,28,12.7,79,5500,315
11/01/2022 14:00,14,11,1,31,12.7,79,5500,315
11/01/2022 15:00,15,11,1,23,11.5,88.9,1000,315
11/01/2022 16:00,16,11,1,13,10.7,81.1,6000,315
11/01/2022 17:00,17,11,1,13,9.7,85.5,6000,315
11/01/2022 18:00,18,11,1,12,9.3,86.6,5500,315
11/01/2022 19:00,19,11,1,15,9.3,88,5500,315
11/01/2022 20:00,20,11,1,15,9.4,86.7,5500,315
11/01/2022 21:00,21,11,1,13,8.7,89.1,2900,315
11/01/2022 22:00,22,11,1,11,8.4,82,5500,315
11/01/2022 23:00,23,11,1,8,7.3,85.4,4500,315
12/01/2022 00:00,0,12,1,9,6.6,86.5,4500,315
12/01/2022 01:00,1,12,1,12,6.3,86.3,5000,315
12/01/2022 02:00,2,12,1,6,5.8,87.6,4000,315
12/01/2022 03:00,3,12,1,7,6.5,83.5,4000,315
12/01/2022 04:00,4,12,1,5,6.3,87.7,3500,315
12/01/2022 05:00,5,12,1,6,5.2,92,2300,315
12/01/2022 06:00,6,12,1,4,5.7,93.8,2500,315
12/01/2022 07:00,7,12,1,5,5.3,93.6,2300,315
12/01/2022 08:00,8,12,1,7,4.7,93.6,3000,315
12/01/2022 09:00,9,12,1,7,5,92,3000,315
12/01/2022 10:00,10,12,1,6,5.6,89,2900,315
12/01/2022 11:00,11,12,1,6,6.1,89.3,3000,315
12/01/2022 12:00,12,12,1,3,7.3,84,3000,315
12/01/2022 13:00,13,12,1,8,8.7,70.2,4500,315
12/01/2022 14:00,14,12,1,13,7.8,70.4,5500,315
12/01/2022 15:00,15,12,1,9,7.1,73.9,6000,315
12/01/2022 16:00,16,12,1,8,5.4,78,5500,315
12/01/2022 17:00,17,12,1,5,3.3,86,2900,315
12/01/2022 18:00,18,12,1,9,3.6,91.4,3000,315
12/01/2022 19:00,19,12,1,9,3.4,87.8,3000,315
12/01/2022 20:00,20,12,1,6,2.8,91.2,3500,315
12/01/2022 21:00,21,12,1,5,3.5,93.1,3000,315
12/01/2022 22:00,22,12,1,7,3.3,87.9,4000,315
12/01/2022 23:00,23,12,1,5,2.6,85.6,3500,315
13/01/2022 00:00,0,13,1,11,2.6,89.3,3500,315
13/01/2022 01:00,1,13,1,11,2.9,87.5,3500,315
13/01/2022 02:00,2,13,1,8,3.1,89.5,4000,315
13/01/2022 03:00,3,13,1,11,3.4,89.6,4000,315
13/01/2022 04:00,4,13,1,9,3,91.2,3500,315
13/01/2022 05:00,5,13,1,11,2.4,94.6,2400,315
13/01/2022 06:00,6,13,1,7,1.8,94.4,2900,315
13/01/2022 07:00,7,13,1,9,2.2,92.7,2100,315
13/01/2022 08:00,8,13,1,6,1.6,94.3,2900,315
13/01/2022 09:00,9,13,1,11,2.5,92.9,2900,315
13/01/2022 10:00,10,13,1,12,4.6,93.5,1900,315
13/01/2022 11:00,11,13,1,14,4.9,87.2,3000,315
13/01/2022 12:00,12,13,1,18,5.1,88.9,2600,315
13/01/2022 13:00,13,13,1,17,5.7,86,2400,315
13/01/2022 14:00,14,13,1,24,6.2,86.5,2500,315
13/01/2022 15:00,15,13,1,25,7,85.4,2500,315
13/01/2022 16:00,16,13,1,27,7.6,87.3,2000,315
13/01/2022 17:00,17,13,1,27,7.9,84.6,1700,315
13/01/2022 18:00,18,13,1,27,7.8,85.9,2400,315
13/01/2022 19:00,19,13,1,24,6.9,85.5,5000,315
13/01/2022 20:00,20,13,1,18,6.3,82.2,3500,315
13/01/2022 21:00,21,13,1,18,6.5,82.3,3000,315
13/01/2022 22:00,22,13,1,19,6.6,80.9,2400,315
13/01/2022 23:00,23,13,1,17,6.4,82.2,2300,315
14/01/2022 00:00,0,14,1,15,6.1,80.5,2600,315
14/01/2022 01:00,1,14,1,19,5.7,83.2,1500,315
14/01/2022 02:00,2,14,1,16,6,73,2900,315
14/01/2022 03:00,3,14,1,16,5.4,72.4,2800,315
